Transported,HomePlanet = Europa,HomePlanet = Earth,CryoSleep = False,Destination = TRAPPIST-1e,Destination = 55 Cancri e,VIP = False,abf = B,abf = F,abf = A,abf = G,abf = E,abf = D,abf = C,lr = S,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,num
FALSE,1.754694065,-1.111108607,0.732727877,0.652483097,-0.510983801,0.153054262,3.18716328,-0.724587687,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,0.709396118,-0.340570277,-0.287297513,-0.290800297,-0.276647509,-0.269007154,-1.5924877
TRUE,-0.569834357,0.899898497,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,-0.336697967,-0.175353517,-0.28165288,-0.248953511,0.211493132,-0.230181079,-1.5924877
FALSE,1.754694065,-1.111108607,0.732727877,0.652483097,-0.510983801,-6.532878921,-0.313722542,-0.724587687,5.740491271,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,2.034448626,-0.275393023,1.95550326,-0.290800297,5.693961602,-0.225769026,-1.5924877
FALSE,1.754694065,-1.111108607,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,-0.724587687,5.740491271,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,0.290958484,-0.340570277,0.517376254,0.330206013,2.683316412,-0.098701873,-1.5924877
TRUE,-0.569834357,0.899898497,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,-0.894614813,0.118702001,-0.243394813,-0.038045707,0.225719453,-0.267242332,-1.241022899
TRUE,-0.569834357,0.899898497,0.732727877,-1.532430448,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,1.058094147,-0.340570277,0.015631115,-0.290800297,-0.017906295,-0.269007154,-1.5924877
TRUE,-0.569834357,0.899898497,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,-0.197218756,-0.276908773,0.677934699,-0.285778683,-0.276647509,-0.269007154,-0.889558098
TRUE,-0.569834357,0.899898497,-1.364606148,0.652483097,-0.510983801,0.153054262,-0.313722542,-0.724587687,-0.174181079,1.548145454,-0.334739541,-0.241204376,-0.306592156,0.968125409,-0.057739544,-0.340570277,-0.287297513,-0.290800297,-0.276647509,-2.01E-16,-1.5924877
TRUE,-0.569834357,0.899898497,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,0.968125409,0.430437696,-0.340570277,0.205039905,-0.262344483,-0.084592175,-0.269007154,-0.538093297
TRUE,1.754694065,-1.111108607,-1.364606148,-1.532430448,1.956784077,0.153054262,3.18716328,-0.724587687,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,-1.034094024,-0.340570277,-0.287297513,-0.290800297,-0.276647509,-0.269007154,-1.241022899
TRUE,1.754694065,-1.111108607,-1.364606148,0.652483097,-0.510983801,0.153054262,3.18716328,-0.724587687,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,0.36069809,-0.340570277,-0.287297513,7.61E-16,-0.276647509,-0.269007154,-1.241022899
TRUE,1.754694065,-1.111108607,0.732727877,-1.532430448,1.956784077,0.153054262,3.18716328,-0.724587687,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,1.127833752,-0.281456023,4.287990976,0.695109991,-0.178841552,-0.159588217,-1.241022899
TRUE,-0.569834357,-1.111108607,0.732727877,0.652483097,-0.510983801,0.153054262,-0.313722542,1.379936457,-0.174181079,-0.645859833,-0.334739541,-0.241204376,-0.306592156,-1.032805209,0.221218878,-0.22992052,-0.287297513,1.588957349,-0.276647509,-0.169294736,-1.241022899
